marque,modele,version,prix_initial,prix,date_loc,info
FORD,,,13 900,13 750 €,"08.04.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                156 000 Km
                            
                                                        
                                2018
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
JAGUAR,,,,36 500 €,"07.07.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                53 000 Km
                            
                                                        
                                2019
                            
                            
                                AUTOMATIQUE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
OPEL,,,,1 500 €,"26.09.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                158 000 Km
                            
                                                        
                                2003
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
PEUGEOT,,,,6 750 €,"01.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                41 000 Km
                            
                                                        
                                1976
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,,12 900 €,"03.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                164 000 Km
                            
                                                        
                                2015
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
SEAT,,,,13 900 €,"05.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                91 000 Km
                            
                                                        
                                2015
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
MERCEDES,,,,14 900 €,"11.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                141 000 Km
                            
                                                        
                                2013
                            
                            
                                AUTOMATIQUE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
LAND,ROVER,,,11 500 €,"13.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                111 000 Km
                            
                                                        
                                2007
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
TOYOTA,,,7 900,6 500 €,"24.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                295 000 Km
                            
                                                        
                                2011
                            
                            
                                AUTOMATIQUE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,,16 900 €,"30.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                127 000 Km
                            
                                                        
                                2017
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
PEUGEOT,,,,21 900 €,"30.10.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                28 000 Km
                            
                                                        
                                2020
                            
                            
                                AUTOMATIQUE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
ALPINE,,,,20 000 €,"03.11.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                120 000 Km
                            
                                                        
                                1985
                            
                            
                                MANUELLE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
JAGUAR,,,,34 900 €,"11.11.2023
                                                                                                   
                                                                
                                                                 FRANCE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                60 000 Km
                            
                                                        
                                2019
                            
                            
                                AUTOMATIQUE
                            
                            
                                67630
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
