"Car Name" "Car Details" "Car Price"
"2017 VOLKSWAGEN JETTA SE - 3VWB67AJXHM298148" "Asking price $15,495 near Burlington, NJ 08016 miles driven 72,454 mi avg. miles 10,350 mi/yr condition Used body style Sedan engine 4 Cyl transmission Manual drivetrain FWD exterior color Blue stock # 298148 vin # 3VWB67AJXHM298148 History Vehicle Report avg mileage 33 mpg fuel type Gasoline features Full Options List" "$ 17,044
$ 15,495

$277.73 Est. Mo."
"2021 KIA TELLURIDE SX - 5XYP54HC1MG136546" "Asking price $39,390 near San Angelo, TX 76903 miles driven 92,687 mi avg. miles 30,895 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain FWD exterior color Black interior color Black stock # 136546 vin # 5XYP54HC1MG136546 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 39,390

$706.03 Est. Mo."
"2019 CHEVROLET EQUINOX LT 2FL - 3GNAXJEV5KS672682" "Asking price $22,000 price drop $25,000 $3,000 near Battle Creek, MI 49037 miles driven 38,361 mi avg. miles 7,672 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain FWD exterior color Silver interior color Black stock # 672682 vin # 3GNAXJEV5KS672682 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 25,000
$ 22,000

$394.33 Est. Mo."
"2023 JEEP WAGONEER - 1C4SJVAT3PS509073" "Asking price $64,975 near Franklin, KY 42134 miles driven 5,100 mi avg. miles 5,100 mi/yr condition Used body style SUV engine 8 Cyl transmission Automatic drivetrain 4WD exterior color Bronze interior color Black stock # 509073 vin # 1C4SJVAT3PS509073 History Vehicle Report avg mileage 17 mpg fuel type Gasoline features Full Options List" "$ 64,975

$1164.61 Est. Mo."
"2021 NISSAN SENTRA SR - 3N1AB8DV9MY212820" "Asking price $21,900 near Fairless Hills, PA 19030 miles driven 21,264 mi avg. miles 7,088 mi/yr condition Certified Pre-Owned body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color White stock # 212820 vin # 3N1AB8DV9MY212820 History Vehicle Report avg mileage 32 mpg fuel type Gasoline features Full Options List" "$ 21,900

$392.54 Est. Mo."
"2020 LEXUS ES 300H LUXURY - 58AE21B10LU005552" "Asking price $39,959 near Waldorf, MD 20601 miles driven 20,962 mi avg. miles 5,240 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Beige interior color Tan stock # 005552 vin # 58AE21B10LU005552 History Vehicle Report avg mileage 44 mpg fuel type Hybrid features Full Options List" "$ 39,959

